District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Lunenburg,1620000,MATH,267,37,22,3,245,34,366,50,95,13,728,100,492.9,33.3,478
Lynn,1630000,MATH,854,13,41,1,813,12,"3,101",45,"2,864",42,"6,819",96,475.5,19.8,"3,899"
Lynnfield,1640000,MATH,604,58,100,10,504,49,384,37,49,5,"1,037",99,504.6,30.3,650
Malden,1650000,MATH,684,24,77,3,607,22,"1,282",46,839,30,"2,805",98,483.6,30.4,"1,658"
Manchester Essex Regional,6980000,MATH,296,52,42,7,254,44,226,40,49,9,571,97,500,32.6,374
Mansfield,1670000,MATH,801,51,116,7,685,44,604,39,158,10,"1,563",99,499.9,38.8,"1,012"
Marblehead,1680000,MATH,687,56,90,7,597,49,439,36,104,8,"1,230",99,501.9,46.6,780
Marblehead Community Charter Public (District),4640000,MATH,72,34,10,5,62,30,115,55,23,11,210,100,494.2,33.4,129
Marion,1690000,MATH,101,44,12,5,89,39,101,44,29,13,231,100,496.4,38.5,116
Marlborough,1700000,MATH,488,21,39,2,449,20,"1,115",49,669,29,"2,272",99,482.1,28.3,"1,293"
Marshfield,1710000,MATH,832,50,78,5,754,45,684,41,145,9,"1,661",95,499,29.6,"1,052"
Martha's Vineyard Charter (District),4660000,MATH,21,26,2,3,19,24,50,63,9,11,80,83,488.9,26.7,53
Martin Luther King Jr. Charter School of Excellence (District),4920000,MATH,16,9,2,1,14,8,78,45,81,46,175,99,471.1,9.9,58
Masconomet,7050000,MATH,280,48,39,7,241,42,256,44,42,7,578,98,499.7,31,550
Mashpee,1720000,MATH,195,29,26,4,169,25,334,50,134,20,663,95,488.4,24.3,425
Match Charter Public School (District),4690000,MATH,56,10,1,0,55,10,289,54,194,36,539,95,476.2,21.2,332
Mattapoisett,1730000,MATH,127,56,16,7,111,49,89,40,9,4,225,100,501.3,48.9,107
Maynard,1740000,MATH,151,28,13,2,138,26,281,52,108,20,540,96,487.9,32.5,321
Medfield,1750000,MATH,660,59,102,9,558,50,408,36,56,5,"1,124",97,503.7,33,713
Medford,1760000,MATH,409,26,47,3,362,23,758,49,382,25,"1,549",87,486.2,32.6,899
Medway,1770000,MATH,488,51,76,8,412,43,396,41,72,8,956,97,500.4,31.4,635
Melrose,1780000,MATH,867,52,159,10,708,42,620,37,186,11,"1,673",96,499.8,32.1,995
Mendon-Upton,7100000,MATH,319,31,18,2,301,29,547,54,155,15,"1,021",99,490.4,23.1,669
Methuen,1810000,MATH,735,23,87,3,648,21,"1,513",48,906,29,"3,154",98,483.7,28.1,"1,928"
Middleborough,1820000,MATH,479,37,41,3,438,33,642,49,191,15,"1,312",92,492.9,32.4,829
Middleton,1840000,MATH,177,53,30,9,147,44,125,37,34,10,336,99,500.7,41.7,157
Milford,1850000,MATH,458,23,38,2,420,21,989,50,545,27,"1,992",99,484,25.6,"1,156"
Millbury,1860000,MATH,241,33,24,3,217,29,373,51,123,17,737,99,490.5,37.5,496
Millis,1870000,MATH,245,46,22,4,223,42,248,46,42,8,535,98,497.3,30.7,338
Milton,1890000,MATH,"1,044",51,147,7,897,44,830,40,188,9,"2,062",98,499.9,27.9,"1,216"
Mohawk Trail,7170000,MATH,69,23,4,1,65,22,163,55,66,22,298,79,485.9,22.3,177
Monomoy Regional School District,7120000,MATH,379,45,44,5,335,40,351,42,115,14,845,93,496.1,41.2,516
Monson,1910000,MATH,75,19,1,0,74,19,224,56,98,25,397,98,482.7,23,248
Mount Greylock,7150000,MATH,262,55,48,10,214,45,176,37,38,8,476,98,503.3,39.3,296
Mystic Valley Regional Charter (District),4700000,MATH,439,57,73,9,366,48,287,37,44,6,770,99,503.7,44.3,480
Nahant,1960000,MATH,28,40,5,7,23,33,33,47,9,13,70,97,495.6,31.4,32
Nantucket,1970000,MATH,140,19,11,2,129,18,403,56,182,25,725,99,483.3,31.3,433
Narragansett,7200000,MATH,153,23,11,2,142,21,380,57,139,21,672,99,486.3,32.7,431
Nashoba,7250000,MATH,770,53,104,7,666,46,586,40,98,7,"1,454",99,501.5,35,948
Natick,1980000,MATH,"1,336",54,232,9,"1,104",45,943,38,195,8,"2,474",99,502,37.6,"1,582"
Nauset,6600000,MATH,172,34,9,2,163,32,270,53,63,12,505,87,492.3,25.8,449
Needham,1990000,MATH,"1,582",62,328,13,"1,254",49,780,31,192,8,"2,554",97,505.7,48.5,"1,565"
Neighborhood House Charter (District),4440000,MATH,67,18,2,1,65,18,197,53,106,29,370,97,481.8,32.9,253
New Bedford,2010000,MATH,"1,017",17,89,2,928,16,"2,808",48,"2,066",35,"5,891",93,479.3,21.5,"3,199"
New Heights Charter School of Brockton (District),35130000,MATH,46,13,2,1,44,12,210,59,102,28,358,100,479.4,27.3,308
New Salem-Wendell,7280000,MATH,28,51,1,2,27,49,24,44,3,5,55,82,497.4,56.5,20
Newburyport,2040000,MATH,387,43,31,3,356,40,421,47,92,10,900,98,496.1,36.9,585
Newton,2070000,MATH,"3,244",60,729,14,"2,515",47,"1,722",32,417,8,"5,383",96,505.4,41.2,"3,327"
Norfolk,2080000,MATH,273,54,38,7,235,46,210,41,26,5,509,98,502.2,39.8,244
North Adams,2090000,MATH,77,14,6,1,71,13,262,49,198,37,537,94,477.5,23,320
North Andover,2110000,MATH,921,44,125,6,796,38,941,45,229,11,"2,091",98,497.2,31,"1,313"
North Attleborough,2120000,MATH,832,43,94,5,738,38,871,45,220,11,"1,923",99,496.2,31.3,"1,218"
North Brookfield,2150000,MATH,45,20,1,0,44,19,123,54,61,27,229,93,482,22.4,132
North Middlesex,7350000,MATH,465,33,28,2,437,31,702,50,250,18,"1,417",98,490.1,27.3,909
North Reading,2170000,MATH,664,61,105,10,559,51,379,35,47,4,"1,090",99,504.6,36.5,703
Northampton,2100000,MATH,266,29,18,2,248,27,433,48,210,23,909,78,487.4,23.9,490
Northborough,2130000,MATH,526,50,100,10,426,41,439,42,78,7,"1,043",98,500.9,33.6,658
Northbridge,2140000,MATH,243,26,15,2,228,25,468,51,210,23,921,98,486.2,30.9,605
Norton,2180000,MATH,322,33,21,2,301,31,491,51,151,16,964,85,491,33.1,593
Norwell,2190000,MATH,583,57,69,7,514,51,385,38,48,5,"1,016",99,502.5,38.5,650
Norwood,2200000,MATH,532,36,58,4,474,32,663,44,299,20,"1,494",98,491,27.2,852
Oak Bluffs,2210000,MATH,117,41,12,4,105,37,130,46,38,13,285,100,494.2,39.7,172
Old Rochester,7400000,MATH,145,35,14,3,131,32,230,56,39,9,414,99,494,21.1,380
Old Sturbridge Academy Charter Public School (District),35150000,MATH,42,26,3,2,39,24,91,57,27,17,160,100,488.9,32.6,78
Orange,2230000,MATH,30,11,0,0,30,11,125,47,113,42,268,98,474.6,24.1,120
Orleans,2240000,MATH,53,51,8,8,45,44,42,41,8,8,103,100,500.1,53.1,35
Oxford,2260000,MATH,182,25,14,2,168,23,379,52,165,23,726,96,485.8,30.4,461
Palmer,2270000,MATH,128,21,7,1,121,20,290,48,188,31,606,98,481.9,34,355
Peabody,2290000,MATH,730,27,56,2,674,25,"1,391",51,601,22,"2,722",98,486.3,31.9,"1,684"
Pelham,2300000,MATH,22,49,3,7,19,42,16,36,7,16,45,79,495.6,33.4,23
Pembroke,2310000,MATH,589,49,65,5,524,43,511,42,105,9,"1,205",98,499.2,35.5,806
Pentucket,7450000,MATH,378,38,33,3,345,35,498,50,122,12,998,99,494.1,38.3,654
Petersham,2340000,MATH,12,20,3,5,9,15,39,64,10,16,61,94,487.7,45.2,32
Pioneer Charter School of Science (District),4940000,MATH,178,47,34,9,144,38,165,44,33,9,376,99,499.4,36.8,242
Pioneer Charter School of Science II (District),35060000,MATH,66,52,9,7,57,45,46,36,16,13,128,100,500.2,45.1,102
Pioneer Valley,7500000,MATH,62,20,2,1,60,20,163,54,79,26,304,94,482,26.9,184
Pioneer Valley Chinese Immersion Charter (District),4970000,MATH,124,42,26,9,98,33,126,43,43,15,293,96,496.2,40.9,185
Pioneer Valley Performing Arts Charter Public (District),4790000,MATH,22,18,1,1,21,17,75,60,28,22,125,89,484.1,17.6,95
Pittsfield,2360000,MATH,372,18,21,1,351,17,"1,051",49,701,33,"2,124",95,480.4,21.9,"1,199"
Plainville,2380000,MATH,152,44,26,7,126,36,167,48,30,9,349,99,497.6,41.4,164
Plymouth,2390000,MATH,"1,025",33,90,3,935,30,"1,564",51,495,16,"3,084",97,491,30.7,"1,900"
Plympton,2400000,MATH,45,41,5,5,40,36,54,49,12,11,111,97,495.6,26.9,57
Prospect Hill Academy Charter (District),4870000,MATH,85,17,8,2,77,15,272,53,155,30,512,93,480.4,19.9,308
Provincetown,2420000,MATH,16,19,2,2,14,16,42,49,27,32,85,100,481.2,22.8,50
Quabbin,7530000,MATH,357,37,26,3,331,34,465,48,145,15,967,98,491.9,33.6,604
Quaboag Regional,7780000,MATH,148,28,6,1,142,27,294,55,90,17,532,97,488.3,28.5,340
Quincy,2430000,MATH,"1,485",36,266,6,"1,219",30,"1,814",44,829,20,"4,128",99,492.1,30.2,"2,389"
Ralph C Mahar,7550000,MATH,49,20,1,0,48,19,128,52,70,28,247,96,481.1,34,224
Randolph,2440000,MATH,311,24,27,2,284,22,609,47,379,29,"1,299",97,483.6,30.8,732
Reading,2460000,MATH,853,49,126,7,727,42,705,40,184,11,"1,742",98,498.4,32.4,"1,141"
Revere,2480000,MATH,583,17,23,1,560,16,"1,720",51,"1,091",32,"3,394",99,480,18.2,"2,031"
Richmond,2490000,MATH,31,35,2,2,29,33,46,52,11,13,88,91,493,37.5,56
Rising Tide Charter Public (District),4830000,MATH,127,36,10,3,117,34,189,54,32,9,348,98,494.1,29.2,300
River Valley Charter (District),4820000,MATH,75,40,5,3,70,37,92,49,22,12,189,99,494.5,52.7,112
Rochester,2500000,MATH,129,44,14,5,115,39,143,49,21,7,293,100,497.8,49.6,143
Rockland,2510000,MATH,324,30,20,2,304,28,542,50,225,21,"1,091",99,487.8,27.3,671
Rockport,2520000,MATH,106,29,12,3,94,25,189,51,74,20,369,97,489.4,31.1,237
Rowe,2530000,MATH,6,17,0,0,6,17,18,51,11,31,35,88,479.7,,13
Roxbury Preparatory Charter (District),4840000,MATH,86,9,4,0,82,9,539,58,302,33,927,98,477.6,21.8,776
Salem,2580000,MATH,262,16,20,1,242,15,774,49,556,35,"1,592",88,478.8,24.8,868
Salem Academy Charter (District),4850000,MATH,68,32,8,4,60,28,116,54,31,14,215,100,491.7,37.7,206
Sandwich,2610000,MATH,432,38,36,3,396,35,575,50,135,12,"1,142",98,493.6,34.6,723
Saugus,2620000,MATH,314,26,27,2,287,24,650,53,252,21,"1,216",99,487,24,723
Savoy,2630000,MATH,8,28,0,0,8,28,17,59,4,14,29,100,486.6,,13
Scituate,2640000,MATH,712,58,92,7,620,51,426,35,89,7,"1,227",98,503.2,37.9,789
Seekonk,2650000,MATH,441,46,42,4,399,42,415,43,102,11,958,99,496.7,33.8,571
Sharon,2660000,MATH,"1,009",63,267,17,742,46,478,30,112,7,"1,599",97,507.8,36.5,"1,020"
Sherborn,2690000,MATH,123,64,15,8,108,56,62,32,7,4,192,98,505.1,52.8,59
Shrewsbury,2710000,MATH,"1,692",60,385,14,"1,307",46,923,32,228,8,"2,843",99,505.3,34.5,"1,762"
Shutesbury,2720000,MATH,21,34,3,5,18,30,24,39,16,26,61,95,488,39.1,33
Silver Lake,7600000,MATH,203,40,16,3,187,37,250,49,54,11,507,98,494.4,31.5,485
Sizer School: A North Central Charter Essential (District),4740000,MATH,14,10,0,0,14,10,75,55,47,35,136,94,476.8,21.4,108
Somerset,2730000,MATH,337,30,18,2,319,29,614,55,167,15,"1,118",97,490.2,31.8,709
Somerville,2740000,MATH,446,24,50,3,396,21,792,42,643,34,"1,881",93,481.9,21.9,"1,113"
South Hadley,2780000,MATH,185,25,23,3,162,22,367,49,201,27,753,91,484.8,23,433
South Shore Charter Public (District),4880000,MATH,101,21,11,2,90,19,283,60,86,18,470,97,486.1,31.9,295
Southampton,2750000,MATH,72,30,8,3,64,27,124,52,44,18,240,99,489.1,51.8,104
Southborough,2760000,MATH,551,72,154,20,397,52,188,25,25,3,764,99,512.9,36.1,475
Southbridge,2770000,MATH,44,5,1,0,43,5,357,41,464,54,865,98,469.1,27.4,467
Southern Berkshire,7650000,MATH,45,18,5,2,40,16,138,55,66,27,249,94,483.1,20.7,148
Southwick-Tolland-Granville Regional School District,7660000,MATH,201,32,15,2,186,30,338,54,83,13,622,93,490.9,41,415
Spencer-E Brookfield,7670000,MATH,95,14,4,1,91,13,399,58,199,29,693,99,479.4,27.1,410
Springfield,2810000,MATH,"1,075",11,79,1,996,10,"4,409",46,"4,048",42,"9,532",92,475.1,23.5,"5,275"
Springfield International Charter (District),4410000,MATH,105,14,6,1,99,13,403,52,262,34,770,92,477.7,27,464
Springfield Preparatory Charter School (District),35100000,MATH,48,22,5,2,43,20,120,56,46,21,214,100,485.8,11.2,102
Stoneham,2840000,MATH,419,40,67,6,352,33,497,47,138,13,"1,054",99,494.5,29.8,655
Stoughton,2850000,MATH,436,28,31,2,405,26,815,53,292,19,"1,543",98,488.1,28.3,968
Sturbridge,2870000,MATH,214,47,22,5,192,42,189,41,54,12,457,98,497.6,38.7,211
Sudbury,2880000,MATH,"1,146",67,252,15,894,52,480,28,96,6,"1,722",98,508.3,40.5,"1,108"
Sunderland,2890000,MATH,25,27,5,5,20,22,45,49,22,24,92,89,487.8,26.2,34
Sutton,2900000,MATH,171,32,14,3,157,30,295,56,65,12,531,88,491.8,30.7,355
Swampscott,2910000,MATH,354,41,36,4,318,37,405,47,110,13,869,92,494.8,30.3,562
Swansea,2920000,MATH,344,36,25,3,319,34,472,50,128,14,944,94,492.4,31.1,585
TEC Connections Academy Commonwealth Virtual School District,39020000,MATH,287,34,39,5,248,29,390,46,174,20,851,86,490.1,33.6,504
Tantasqua,7700000,MATH,261,47,34,6,227,41,243,44,52,9,556,96,499.6,34.4,527
Taunton,2930000,MATH,626,17,35,1,591,16,"1,916",52,"1,167",31,"3,709",97,480.2,23.1,"2,306"
Tewksbury,2950000,MATH,578,38,51,3,527,35,713,47,211,14,"1,502",99,493,30.8,928
Tisbury,2960000,MATH,81,46,6,3,75,43,81,46,13,7,175,98,497.7,34.9,92
Topsfield,2980000,MATH,115,34,7,2,108,32,178,53,45,13,338,99,491.1,21.7,160
Triton,7730000,MATH,310,31,26,3,284,28,554,55,151,15,"1,015",98,490.5,37.1,643
Truro,3000000,MATH,23,47,4,8,19,39,20,41,6,12,49,98,494.4,,18
Tyngsborough,3010000,MATH,275,36,29,4,246,32,399,52,92,12,766,98,493.5,33.8,477
UP Academy Charter School of Boston (District),4800000,MATH,39,12,1,0,38,12,137,43,144,45,320,91,475.9,28.9,284
UP Academy Charter School of Dorchester (District),35050000,MATH,18,4,0,0,18,4,175,42,220,53,413,97,468.4,24.1,256
Up-Island Regional,7740000,MATH,105,40,11,4,94,35,121,46,39,15,265,99,493.8,39.4,162
Uxbridge,3040000,MATH,247,34,19,3,228,31,366,50,118,16,731,96,490.2,31.4,466
Veritas Preparatory Charter School (District),4980000,MATH,92,23,9,2,83,21,202,51,101,26,395,98,484,28.3,352
Wachusett,7750000,MATH,"1,308",42,132,4,"1,176",38,"1,468",47,319,10,"3,095",96,496.2,30.5,"2,010"
Wakefield,3050000,MATH,608,39,59,4,549,36,759,49,179,12,"1,546",97,494.3,28.5,977
Wales,3060000,MATH,28,44,1,2,27,42,30,47,6,9,64,96,494.5,49.3,35
Walpole,3070000,MATH,949,58,162,10,787,48,564,34,125,8,"1,638",99,502.9,36.4,"1,034"
Waltham,3080000,MATH,726,30,79,3,647,27,"1,080",45,599,25,"2,405",98,486.9,34.2,"1,351"
Ware,3090000,MATH,99,18,2,0,97,18,273,50,171,31,543,97,480.3,31.4,358
Wareham,3100000,MATH,146,15,7,1,139,14,506,51,339,34,991,98,479.2,27.2,607
Watertown,3140000,MATH,334,31,36,3,298,27,546,50,215,20,"1,095",97,489,34.4,644
Wayland,3150000,MATH,809,66,177,14,632,51,365,30,60,5,"1,234",96,507.9,37.1,740
Webster,3160000,MATH,108,14,7,1,101,13,382,49,297,38,787,92,477.1,23.4,447
Wellesley,3170000,MATH,"1,266",62,265,13,"1,001",49,656,32,129,6,"2,051",98,506,34.5,"1,262"
Wellfleet,3180000,MATH,23,49,1,2,22,47,18,38,6,13,47,96,498.5,,10
West Boylston,3220000,MATH,197,50,25,6,172,44,148,38,47,12,392,96,498.5,36.5,245
West Bridgewater,3230000,MATH,139,24,17,3,122,21,331,58,103,18,573,93,487.3,21.1,372
West Springfield,3320000,MATH,472,27,50,3,422,24,847,49,407,24,"1,726",97,486.7,27.1,"1,044"
Westborough,3210000,MATH,"1,085",63,276,16,809,47,526,30,117,7,"1,728",97,507.1,45.4,"1,029"
Westfield,3250000,MATH,535,27,35,2,500,25,969,49,471,24,"1,975",92,485.8,25.3,"1,251"
Westford,3260000,MATH,"1,403",65,338,16,"1,065",49,649,30,101,5,"2,153",98,508.2,39.2,"1,401"
Westhampton,3270000,MATH,36,55,8,12,28,43,24,37,5,8,65,97,503.3,44.5,36
Weston,3300000,MATH,587,69,153,18,434,51,219,26,44,5,850,98,510.3,40.1,541
Westport,3310000,MATH,254,37,10,1,244,36,332,49,93,14,679,97,492.1,29.6,436
Westwood,3350000,MATH,809,62,171,13,638,49,425,32,80,6,"1,314",99,505.6,31.2,850
Weymouth,3360000,MATH,738,30,88,4,650,26,"1,230",50,499,20,"2,467",99,489,29.1,"1,533"
Whately,3370000,MATH,25,47,3,6,22,42,21,40,7,13,53,100,496.6,30.6,25
Whitman-Hanson,7800000,MATH,529,32,31,2,498,30,849,51,277,17,"1,655",97,490.2,32.5,"1,080"
Williamsburg,3400000,MATH,29,45,4,6,25,38,29,45,7,11,65,90,498.4,33.4,35
Wilmington,3420000,MATH,622,46,74,5,548,41,600,45,126,9,"1,348",93,497.9,31,874
Winchendon,3430000,MATH,72,13,3,1,69,12,310,56,171,31,553,96,479.5,32,319
Winchester,3440000,MATH,"1,220",61,258,13,962,48,681,34,108,5,"2,009",94,506,30.4,"1,240"
Winthrop,3460000,MATH,218,26,21,3,197,24,455,55,159,19,832,99,487.8,24.9,535
Woburn,3470000,MATH,640,33,66,3,574,30,942,49,336,18,"1,918",97,490.7,32.8,"1,178"
Worcester,3480000,MATH,"1,478",15,137,1,"1,341",14,"4,343",45,"3,873",40,"9,694",92,477,24.7,"5,493"
Worthington,3490000,MATH,10,29,0,0,10,29,18,51,7,20,35,100,484.9,,13
Wrentham,3500000,MATH,195,38,14,3,181,35,249,48,73,14,517,100,492.5,24.1,239
State,0,MATH,"132,105",33,"18,518",5,"113,587",29,"176,477",45,"86,908",22,"395,490",95,489.7,30.4,"245,839"
